receptor,ligand,name,pk,rmsd
/es01/paratera/sce0413/czn/part4/1O3K_frame3/protein.pdb,/es01/paratera/sce0413/czn/part4/1O3K_frame3/ligand.sdf,1o3k_frame3,6.77,1.443
/es01/paratera/sce0413/czn/part4/2Q7Q_frame95/protein.pdb,/es01/paratera/sce0413/czn/part4/2Q7Q_frame95/ligand.sdf,2q7q_frame95,5.3,2.551
/es01/paratera/sce0413/czn/part4/4MRE_frame71/protein.pdb,/es01/paratera/sce0413/czn/part4/4MRE_frame71/ligand.sdf,4mre_frame71,2.19,3.624
/es01/paratera/sce0413/czn/part4/3R24_frame47/protein.pdb,/es01/paratera/sce0413/czn/part4/3R24_frame47/ligand.sdf,3r24_frame47,5.25,1.044
/es01/paratera/sce0413/czn/part4/3IKA_frame51/protein.pdb,/es01/paratera/sce0413/czn/part4/3IKA_frame51/ligand.sdf,3ika_frame51,7.85,3.132
/es01/paratera/sce0413/czn/part4/3HQH_frame23/protein.pdb,/es01/paratera/sce0413/czn/part4/3HQH_frame23/ligand.sdf,3hqh_frame23,4.2,2.737
/es01/paratera/sce0413/czn/part4/3IGV_frame43/protein.pdb,/es01/paratera/sce0413/czn/part4/3IGV_frame43/ligand.sdf,3igv_frame43,7.6,1.843
/es01/paratera/sce0413/czn/part4/4WW8_frame3/protein.pdb,/es01/paratera/sce0413/czn/part4/4WW8_frame3/ligand.sdf,4ww8_frame3,10.17,3.202
/es01/paratera/sce0413/czn/part4/4MWE_frame15/protein.pdb,/es01/paratera/sce0413/czn/part4/4MWE_frame15/ligand.sdf,4mwe_frame15,5.91,1.575
/es01/paratera/sce0413/czn/part4/3OUJ_frame83/protein.pdb,/es01/paratera/sce0413/czn/part4/3OUJ_frame83/ligand.sdf,3ouj_frame83,6.05,1.765
/es01/paratera/sce0413/czn/part4/2GZ2_frame99/protein.pdb,/es01/paratera/sce0413/czn/part4/2GZ2_frame99/ligand.sdf,2gz2_frame99,5.22,3.318
/es01/paratera/sce0413/czn/part4/2UW8_frame31/protein.pdb,/es01/paratera/sce0413/czn/part4/2UW8_frame31/ligand.sdf,2uw8_frame31,4.11,1.366
/es01/paratera/sce0413/czn/part4/3BPC_frame27/protein.pdb,/es01/paratera/sce0413/czn/part4/3BPC_frame27/ligand.sdf,3bpc_frame27,4.8,4.188
/es01/paratera/sce0413/czn/part4/3DD8_frame19/protein.pdb,/es01/paratera/sce0413/czn/part4/3DD8_frame19/ligand.sdf,3dd8_frame19,7.85,3.192
/es01/paratera/sce0413/czn/part4/1YDD_frame67/protein.pdb,/es01/paratera/sce0413/czn/part4/1YDD_frame67/ligand.sdf,1ydd_frame67,7.07,2.055
/es01/paratera/sce0413/czn/part4/6GL3_frame59/protein.pdb,/es01/paratera/sce0413/czn/part4/6GL3_frame59/ligand.sdf,6gl3_frame59,7.96,2.08
